Time, rotorL_beta_b1, Inflow(0), Inflow(1), Inflow(2), Inflow(3), Inflow(4), Inflow(5), X_e(0), X_e(1), X_e(2), alpha(0), alpha(1), alpha(2), v_b(0), v_b(1), v_b(2), omega_b(0), omega_b(1), omega_b(2), 
0.134, -2.0592, 0.0163198, -0.000861519, 0.000212944, 0.0163055, 0.00120874, 0.000156227, -0.000948553, -0.000497455, -10.0463, -0.215625, -2.25729, 0.0176694, -0.0187588, -0.00194097, -0.62955, -0.619227, -18.3577, -1.14152, 
0.136, -2.05609, 0.0164292, -0.000870109, 0.000178072, 0.0164148, 0.00126172, 0.000123329, -0.000934791, -0.000505968, -10.0475, -0.216455, -2.29407, 0.0157589, -0.0176388, -0.00181557, -0.632882, -0.286612, -18.4183, -0.906169, 
0.138, -2.03932, 0.0165361, -0.000889737, 0.000136321, 0.0165217, 0.00129979, 8.33851e-05, -0.000917805, -0.000514529, -10.0488, -0.216783, -2.33094, 0.0143604, -0.0166041, -0.00195302, -0.635998, -0.098668, -18.4426, -0.6305, 
0.14, -2.009, 0.0166405, -0.000921901, 9.11943e-05, 0.0166262, 0.00132373, 3.98789e-05, -0.000897827, -0.000523649, -10.0501, -0.216918, -2.3678, 0.0135236, -0.0157089, -0.00234689, -0.638906, -0.0704822, -18.4088, -0.345068, 
0.142, -1.96558, 0.0167423, -0.000967055, 4.64781e-05, 0.0167283, 0.00133489, -3.40874e-06, -0.000875175, -0.000533803, -10.0514, -0.217175, -2.40451, 0.0132337, -0.0149806, -0.00296125, -0.641621, -0.198374, -18.3066, -0.0837345, 
0.144, -1.90995, 0.0168417, -0.00102452, 5.99628e-06, 0.0168279, 0.00133538, -4.26385e-05, -0.00085019, -0.000545368, -10.0526, -0.217837, -2.44096, 0.0134095, -0.0144152, -0.0037284, -0.64416, -0.455735, -18.1388, 0.12111, 
0.146, -1.84336, 0.0169387, -0.00109243, -2.66771e-05, 0.0169251, 0.00132766, -7.42022e-05, -0.000823184, -0.000558566, -10.0539, -0.21911, -2.47701, 0.0139131, -0.0139829, -0.00455495, -0.646537, -0.795749, -17.9189, 0.244496, 
0.148, -1.76735, 0.0170332, -0.00116784, -4.85618e-05, 0.0170197, 0.00131446, -9.50705e-05, -0.0007944, -0.000573426, -10.0552, -0.221094, -2.51259, 0.0145686, -0.0136443, -0.00533652, -0.648762, -1.15997, -17.6643, 0.273786, 
0.15, -1.68364, 0.0171253, -0.00124697, -5.76255e-05, 0.0171119, 0.00129889, -0.000103155, -0.000764013, -0.000589775, -10.0565, -0.223771, -2.54765, 0.0151895, -0.0133683, -0.00597526, -0.650841, -1.48946, -17.3889, 0.210381, 
0.152, -1.59404, 0.0172151, -0.00132564, -5.30372e-05, 0.0172016, 0.00128441, -9.75708e-05, -0.000732158, -0.000607263, -10.0578, -0.227012, -2.58213, 0.015604, -0.0131436, -0.00639305, -0.652776, -1.73328, -17.098, 0.0680714, 
0.154, -1.50035, 0.0173026, -0.00139977, -3.52413e-05, 0.017289, 0.00127475, -7.87149e-05, -0.000698966, -0.000625406, -10.0591, -0.230601, -2.61602, 0.0156772, -0.0129776, -0.00653771, -0.654571, -1.8526, -16.7888, -0.130266, 
0.156, -1.40432, 0.0173878, -0.00146572, -5.85621e-06, 0.0173739, 0.00127361, -4.81738e-05, -0.000664594, -0.000643636, -10.0604, -0.23426, -2.64926, 0.0153257, -0.0128874, -0.00638475, -0.656232, -1.82214, -16.4542, -0.355692, 
0.158, -1.3077, 0.0174706, -0.00152063, 3.25331e-05, 0.0174565, 0.00128411, -8.51761e-06, -0.000629228, -0.000661362, -10.0618, -0.237677, -2.68181, 0.0145276, -0.0128855, -0.00593867, -0.657776, -1.63202, -16.0888, -0.575596, 
0.16, -1.2122, 0.0175512, -0.00156276, 7.67666e-05, 0.0175368, 0.00130842, 3.70892e-05, -0.000593064, -0.000678023, -10.0631, -0.240543, -2.7136, 0.013327, -0.0129671, -0.0052348, -0.659218, -1.29048, -15.6946, -0.756286, 
0.162, -1.11961, 0.0176295, -0.00159141, 0.000123395, 0.017615, 0.00134728, 8.51723e-05, -0.000556262, -0.000693154, -10.0644, -0.242588, -2.74458, 0.011833, -0.0131017, -0.00433969, -0.660578, -0.825595, -15.2838, -0.866658, 
0.164, -1.03172, 0.0177056, -0.00160676, 0.000168925, 0.0176909, 0.00139979, 0.000132196, -0.000518895, -0.000706444, -10.0657, -0.243619, -2.77475, 0.0102096, -0.0132344, -0.00334651, -0.661872, -0.283602, -14.8793, -0.882956, 
0.166, -0.950363, 0.0177795, -0.00160986, 0.000210013, 0.0177648, 0.00146338, 0.000174758, -0.000480914, -0.000717779, -10.067, -0.243549, -2.80415, 0.00865636, -0.0132969, -0.00236262, -0.663107, 0.278145, -14.5095, -0.793402, 
0.168, -0.877314, 0.0178513, -0.00160247, 0.000243628, 0.0178367, 0.00153414, 0.000209764, -0.000442134, -0.000727257, -10.0684, -0.242406, -2.83286, 0.00738263, -0.013227, -0.00149164, -0.664284, 0.8022, -14.2004, -0.600572, 
0.17, -0.814195, 0.0179209, -0.00158706, 0.000267261, 0.0179066, 0.00160736, 0.000234644, -0.000402273, -0.000735162, -10.0697, -0.240322, -2.86104, 0.00657976, -0.0129873, -0.000816763, -0.665394, 1.24169, -13.968, -0.320003, 
0.172, -0.762381, 0.0179885, -0.00156665, 0.000279191, 0.0179746, 0.00167835, 0.000247624, -0.000361003, -0.00074192, -10.071, -0.237506, -2.88882, 0.00639977, -0.0125736, -0.000392355, -0.666425, 1.56557, -13.8141, 0.0243775, 
0.174, -0.722917, 0.0180541, -0.00154466, 0.000278706, 0.0180408, 0.00174302, 0.000247955, -0.000318017, -0.000748043, -10.0724, -0.234211, -2.91636, 0.00694375, -0.0120122, -0.000245452, -0.667368, 1.75724, -13.7281, 0.405521, 
0.176, -0.696493, 0.0181178, -0.00152454, 0.000266218, 0.0181052, 0.00179836, 0.000236031, -0.000273075, -0.000754084, -10.0737, -0.230711, -2.94377, 0.00825895, -0.0113479, -0.000382768, -0.668216, 1.80947, -13.6917, 0.79672, 
0.178, -0.683438, 0.0181796, -0.00150945, 0.000243208, 0.0181679, 0.00184256, 0.000213329, -0.000226032, -0.0007606, -10.075, -0.227289, -2.97114, 0.0103404, -0.0106303, -0.00079659, -0.668971, 1.72042, -13.6843, 1.1726, 
0.18, -0.683736, 0.0182397, -0.00150196, 0.000212025, 0.0182289, 0.00187482, 0.000182211, -0.000176834, -0.000768128, -10.0764, -0.224221, -2.9985, 0.0131334, -0.00990325, -0.0014664, -0.669637, 1.49294, -13.6877, 1.50872, 
0.182, -0.697043, 0.0182981, -0.00150384, 0.000175597, 0.0182882, 0.00189518, 0.000145634, -0.000125498, -0.000777152, -10.0777, -0.22177, -3.02587, 0.0165347, -0.00919553, -0.002357, -0.670226, 1.13676, -13.69, 1.7814, 
0.184, -0.722697, 0.0183549, -0.00151595, 0.000137206, 0.018346, 0.00190421, 0.000106924, -7.20768e-05, -0.00078808, -10.079, -0.220166, -3.05323, 0.0203957, -0.00851582, -0.00341575, -0.670749, 0.67147, -13.6873, 1.96865, 
0.186, -0.759745, 0.0184101, -0.00153815, 0.000100256, 0.0184022, 0.00190284, 6.95411e-05, -1.66204e-05, -0.000801196, -10.0804, -0.219588, -3.08059, 0.0245278, -0.00785237, -0.00457247, -0.671218, 0.128038, -13.6844, 2.05256, 
0.188, -0.806993, 0.0184639, -0.00156933, 6.79372e-05, 0.0184568, 0.00189225, 3.67429e-05, 4.08603e-05, -0.000816639, -10.0817, -0.220139, -3.10795, 0.0287138, -0.00717944, -0.00574441, -0.671641, -0.453044, -13.6917, 2.0223, 
0.19, -0.863069, 0.0185162, -0.00160754, 4.29692e-05, 0.0185099, 0.00187391, 1.13231e-05, 0.000100408, -0.000834379, -10.0831, -0.221837, -3.13534, 0.0327241, -0.00646947, -0.00684582, -0.672019, -1.02704, -13.7205, 1.87639, 
0.192, -0.926503, 0.0185672, -0.00165006, 2.74034e-05, 0.0185616, 0.00184965, -4.59411e-06, 0.000162111, -0.000854224, -10.0844, -0.224614, -3.16283, 0.036336, -0.00570641, -0.00779879, -0.672349, -1.55124, -13.7769, 1.62305, 
0.194, -0.995815, 0.0186168, -0.0016938, 2.23586e-05, 0.0186118, 0.00182179, -9.82315e-06, 0.000226068, -0.000875838, -10.0858, -0.228322, -3.19045, 0.0393514, -0.00489437, -0.00854063, -0.672625, -1.98925, -13.8587, 1.27845, 
